ORIGIN,TERMINAL,DISTENCE,PRICE
阿坝,攀枝花,593,830
阿坝,齐齐哈尔,2517,1018
阿坝,青岛,1734,969
阿坝,三亚,1684,965
阿坝,石家庄,1310,933
阿坝,松原,2441,1014
阿坝,上海,1823,976
阿坝,深圳,1561,955
阿坝,沈阳,2175,999
阿坝,台州,1876,979
阿坝,太原,1151,916
阿坝,天津,1573,956
阿坝,通化,2366,1009
阿坝,通辽,2181,999
阿坝,吐鲁番,1654,963
阿坝,万州,602,832
阿坝,威海,1915,982
阿坝,温州,1828,976
阿坝,乌鲁木齐,1843,977
阿坝,无锡,1707,967
阿坝,乌海,958,892
阿坝,武汉,1157,916
阿坝,乌兰浩特,2320,1007
阿坝,乌兰察布,1403,942
阿坝,西安,2357,1009
阿坝,西昌,449,793
阿坝,西宁,528,814
阿坝,锡林浩特,1816,975
阿坝,厦门,1758,971
阿坝,徐州,1416,943
阿坝,烟台,1848,977
阿坝,延吉,2687,1026
阿坝,盐城,1683,965
阿坝,扬州,1618,960
阿坝,伊宁,2265,1004
阿坝,宜宾,418,784
阿坝,宜昌,872,880
阿坝,义乌,1729,969
阿坝,银川,817,871
阿坝,榆林,984,895
阿坝,运城,885,882
阿坝,湛江,1432,944
阿坝,张家界,848,876
阿坝,郑州,1106,911
阿坝,重庆,487,804
阿坝,珠海,1550,954
阿坝,遵义,651,842
阿克苏,阿坝,2105,994
阿克苏,巴彦淖尔,2211,1001
阿克苏,包头,2415,1012
阿克苏,北海,3369,1055
阿克苏,北京,2975,1039
阿克苏,博鳌,3659,1066
阿克苏,长春,3619,1065
阿克苏,长沙,3197,1049
阿克苏,长治,2812,1032
阿克苏,常州,3586,1064
阿克苏,朝阳,2985,1040
阿克苏,成都,2326,1007
阿克苏,赤峰,3135,1046
阿克苏,达州,2571,1020
阿克苏,大理,2401,1011
阿克苏,大连,3435,1058
阿克苏,大庆,3559,1063
阿克苏,大同,3540,1062
阿克苏,丹东,3628,1065
阿克苏,稻城,2164,998
阿克苏,敦煌,1100,910
阿克苏,鄂尔多斯,2443,1014
阿克苏,十堰,2770,1030
阿克苏,石河子,595,830
阿克苏,福州,3853,1073
阿克苏,抚远,4236,1085
阿克苏,阜阳,3180,1048
阿克苏,赣州,3506,1061
阿克苏,广元,2366,1009
阿克苏,广州,3563,1063
阿克苏,贵阳,2802,1031
阿克苏,桂林,3173,1048
阿克苏,哈尔滨,3694,1067
阿克苏,哈密,1055,904
阿克苏,海口,3572,1063
阿克苏,海拉尔,3183,1048
阿克苏,杭州,3684,1067
阿克苏,合肥,3353,1055
阿克苏,呼和浩特,2563,1020
阿克苏,惠州,3650,1066
阿克苏,淮安,3447,1058
阿克苏,和田,371,769
阿克苏,黄山,3503,1060
阿克苏,揭阳,3776,1070
阿克苏,晋江,3874,1074
阿克苏,井冈山,3389,1056
阿克苏,景德镇,3481,1060
阿克苏,佳木斯,3955,1076
阿克苏,九寨沟,2165,998
阿克苏,建三江,4127,1082
阿克苏,库尔勒,410,782
阿克苏,克拉玛依,621,836
阿克苏,昆明,2625,1023
阿克苏,喀什,448,793
阿克苏,兰州,2030,990
阿克苏,丽江,2306,1006
阿克苏,林芝,1802,974
阿克苏,柳州,3175,1048
阿克苏,六盘水,2663,1025
阿克苏,泸州,2548,1019
阿克苏,临汾,2682,1026
阿克苏,拉萨,1492,950
阿克苏,满洲里,3009,1041
阿克苏,茅台,3193,1048
阿克苏,牡丹江,3943,1076
阿克苏,绵阳,2327,1007
阿克苏,南昌,3409,1057
阿克苏,南京,3470,1059
阿克苏,南宁,3204,1049
阿克苏,南通,3650,1066
阿克苏,宁波,3819,1072
阿克苏,攀枝花,2434,1013
阿克苏,齐齐哈尔,3475,1059
阿克苏,青岛,3430,1058
阿克苏,三亚,3657,1066
阿克苏,石家庄,2869,1035
阿克苏,松原,3562,1063
阿克苏,上海,3740,1069
阿克苏,深圳,3660,1066
阿克苏,沈阳,3511,1061
阿克苏,台州,3874,1074
阿克苏,太原,2707,1027
阿克苏,天津,3064,1043
阿克苏,通化,3716,1068
阿克苏,通辽,3381,1056
阿克苏,吐鲁番,722,855
阿克苏,万州,2675,1025
阿克苏,威海,3522,1061
阿克苏,温州,3849,1073
阿克苏,乌鲁木齐,655,843
阿克苏,无锡,3624,1065
阿克苏,乌海,2180,999
阿克苏,武汉,3171,1048
阿克苏,乌兰浩特,3338,1054
阿克苏,乌兰察布,2680,1026
阿克苏,西安,3624,1065
阿克苏,西昌,2367,1010
阿克苏,西宁,1836,976
阿克苏,锡林浩特,2888,1035
阿克苏,厦门,3852,1073
阿克苏,徐州,3234,1050
阿克苏,烟台,3456,1059
阿克苏,延吉,3966,1077
阿克苏,盐城,3524,1061
阿克苏,扬州,3508,1061
阿克苏,伊宁,408,781
阿克苏,宜宾,2494,1016
阿克苏,宜昌,2912,1036
阿克苏,义乌,3723,1068
阿克苏,银川,2154,997
阿克苏,榆林,2459,1014
阿克苏,运城,2678,1026
阿克苏,湛江,3477,1060
阿克苏,张家界,2937,1038
阿克苏,郑州,2913,1037
阿克苏,重庆,2593,1021
阿克苏,珠海,3645,1066
阿克苏,遵义,2745,1029
巴彦淖尔,阿坝,1089,909
巴彦淖尔,阿克苏,2211,1001
巴彦淖尔,包头,204,691
巴彦淖尔,北海,2151,997
巴彦淖尔,北京,765,863
巴彦淖尔,博鳌,2420,1012
巴彦淖尔,长春,1507,951
巴彦淖尔,长沙,1485,949
巴彦淖尔,长治,709,853
巴彦淖尔,常州,1503,950
巴彦淖尔,朝阳,775,864
巴彦淖尔,成都,1161,917
巴彦淖尔,赤峰,971,894
巴彦淖尔,达州,1062,905
巴彦淖尔,大理,1803,974
巴彦淖尔,大连,1224,924
巴彦淖尔,大庆,1551,955
巴彦淖尔,大同,1510,951
巴彦淖尔,丹东,1430,944
巴彦淖尔,稻城,1484,949
巴彦淖尔,敦煌,1120,912
巴彦淖尔,鄂尔多斯,242,713
巴彦淖尔,十堰,952,891
巴彦淖尔,石河子,1789,973
巴彦淖尔,福州,1970,986
巴彦淖尔,抚远,2266,1004
巴彦淖尔,阜阳,1149,916
巴彦淖尔,赣州,1798,974
巴彦淖尔,广元,937,889
巴彦淖尔,广州,2038,990
巴彦淖尔,贵阳,1573,956
巴彦淖尔,桂林,1744,970
巴彦淖尔,哈尔滨,1648,962
巴彦淖尔,哈密,1167,918
巴彦淖尔,海口,2323,1007
巴彦淖尔,海拉尔,1367,938
巴彦淖尔,杭州,1641,962
巴彦淖尔,合肥,1324,934
巴彦淖尔,呼和浩特,356,763
巴彦淖尔,惠州,2069,992
巴彦淖尔,淮安,1324,934
巴彦淖尔,和田,2401,1011
巴彦淖尔,黄山,1510,951
巴彦淖尔,揭阳,2089,993
巴彦淖尔,晋江,2061,992
巴彦淖尔,井冈山,1688,966
巴彦淖尔,景德镇,1551,955
巴彦淖尔,佳木斯,1945,984
巴彦淖尔,九寨沟,884,881
巴彦淖尔,建三江,2132,996
巴彦淖尔,库尔勒,1813,975
巴彦淖尔,克拉玛依,1888,980
巴彦淖尔,昆明,1801,974
巴彦淖尔,喀什,2659,1025
巴彦淖尔,兰州,609,833
巴彦淖尔,丽江,1680,965
巴彦淖尔,林芝,1688,966
巴彦淖尔,柳州,1837,977
巴彦淖尔,六盘水,1594,958
巴彦淖尔,泸州,1332,935
巴彦淖尔,临汾,630,837
巴彦淖尔,拉萨,1923,983
巴彦淖尔,满洲里,1254,927
巴彦淖尔,茅台,1071,906
巴彦淖尔,牡丹江,1856,978
巴彦淖尔,绵阳,1058,905
巴彦淖尔,南昌,1548,954
巴彦淖尔,南京,1401,941
巴彦淖尔,南宁,1999,988
巴彦淖尔,南通,1545,954
巴彦淖尔,宁波,1760,971
巴彦淖尔,攀枝花,1661,963
巴彦淖尔,齐齐哈尔,1507,951
巴彦淖尔,青岛,1240,925
巴彦淖尔,三亚,2511,1017
巴彦淖尔,石家庄,680,847
巴彦淖尔,松原,1494,950
巴彦淖尔,上海,1645,962
巴彦淖尔,深圳,2118,995
巴彦淖尔,沈阳,1340,936
巴彦淖尔,台州,1853,978
巴彦淖尔,太原,544,818
巴彦淖尔,天津,853,877
巴彦淖尔,通化,1548,954
巴彦淖尔,通辽,1261,928
巴彦淖尔,吐鲁番,1518,952
巴彦淖尔,万州,1122,912
巴彦淖尔,威海,1313,933
巴彦淖尔,温州,1865,979
巴彦淖尔,乌鲁木齐,1664,964
巴彦淖尔,无锡,1540,954
巴彦淖尔,乌海,130,632
巴彦淖尔,武汉,1291,931
巴彦淖尔,乌兰浩特,1321,934
巴彦淖尔,乌兰察布,478,802
巴彦淖尔,西安,1485,949
巴彦淖尔,西昌,1514,951
巴彦淖尔,西宁,671,846
巴彦淖尔,锡林浩特,803,869
巴彦淖尔,厦门,2064,992
巴彦淖尔,徐州,1122,912
巴彦淖尔,烟台,1248,926
巴彦淖尔,延吉,1836,976
巴彦淖尔,盐城,1393,941
巴彦淖尔,扬州,1416,943
巴彦淖尔,伊宁,2166,998
巴彦淖尔,宜宾,1358,937
巴彦淖尔,宜昌,1169,918
巴彦淖尔,义乌,1713,967
巴彦淖尔,银川,272,728
巴彦淖尔,榆林,341,758
巴彦淖尔,运城,710,853
巴彦淖尔,湛江,2187,999
巴彦淖尔,张家界,1324,934
巴彦淖尔,郑州,863,878
巴彦淖尔,重庆,1250,927
巴彦淖尔,珠海,2137,996
巴彦淖尔,遵义,1453,946
包头,阿坝,1186,920
包头,阿克苏,2415,1012
包头,巴彦淖尔,204,691
包头,北海,2133,996
包头,北京,561,822
包头,博鳌,2389,1011
包头,长春,1320,934
包头,长沙,1411,942
包头,长治,570,824
包头,常州,1340,936
包头,朝阳,571,825
包头,成都,1224,924
包头,赤峰,778,865
包头,达州,1069,906
包头,大理,1885,980
包头,大连,1020,900
包头,大庆,1385,940
包头,大同,1340,936
包头,丹东,1227,924
包头,稻城,1582,957
包头,敦煌,1324,934
包头,鄂尔多斯,93,589
包头,十堰,894,883
包头,石河子,1986,987
包头,福州,1844,977
包头,抚远,2096,994
包头,阜阳,1011,899
包头,赣州,1711,967
包头,广元,980,895
包头,广州,1975,986
包头,贵阳,1585,957
包头,桂林,1711,967
包头,哈尔滨,1473,948
包头,哈密,1369,938
包头,海口,2293,1005
包头,海拉尔,1248,926
包头,杭州,1486,949
包头,合肥,1181,919
包头,呼和浩特,154,654
包头,惠州,1995,987
包头,淮安,1152,916
包头,和田,2606,1022
包头,黄山,1371,939
包头,揭阳,1996,987
包头,晋江,1946,984
包头,井冈山,1607,959
包头,景德镇,1426,944
包头,佳木斯,1773,972
包头,九寨沟,968,893
包头,建三江,1960,985
包头,库尔勒,2016,989
包头,克拉玛依,2082,993
包头,昆明,1856,978
包头,喀什,2863,1034
包头,兰州,731,857
包头,丽江,1768,972
包头,林芝,1828,976
包头,柳州,1814,975
包头,六盘水,1629,961
包头,泸州,1366,938
包头,临汾,526,814
包头,拉萨,2088,993
包头,满洲里,1156,916
包头,茅台,906,885
包头,牡丹江,1670,964
包头,绵阳,1116,912
包头,南昌,1439,945
包头,南京,1244,926
包头,南宁,1989,987
包头,南通,1375,939
包头,宁波,1599,959
包头,攀枝花,1732,969
包头,齐齐哈尔,1351,937
包头,青岛,1047,903
包头,三亚,2489,1016
包头,石家庄,494,806
包头,松原,1316,933
包头,上海,1477,948
包头,深圳,2050,991
包头,沈阳,1142,915
包头,台州,1699,966
包头,太原,384,773
包头,天津,649,841
包头,通化,1350,937
包头,通辽,1074,907
包头,吐鲁番,1720,968
包头,万州,1112,911
包头,威海,1111,911
包头,温州,1719,968
包头,乌鲁木齐,1862,978
包头,无锡,1376,939
包头,乌海,277,731
包头,武汉,1189,920
包头,乌兰浩特,1158,917
包头,乌兰察布,277,731
包头,西安,1292,931
包头,西昌,1587,958
包头,西宁,830,873
包头,锡林浩特,642,840
包头,厦门,1953,985
包头,徐州,959,892
包头,烟台,1047,903
包头,延吉,1643,962
包头,盐城,1218,923
包头,扬州,1252,927
包头,伊宁,2364,1009
包头,宜宾,1403,942
包头,宜昌,1110,911
包头,义乌,1565,956
包头,银川,392,776
包头,榆林,263,724
包头,运城,631,838
包头,湛江,2156,997
包头,张家界,1282,930
包头,郑州,735,857
包头,重庆,1270,929
包头,珠海,2074,992
包头,遵义,1464,947
北海,阿坝,1346,936
北海,阿克苏,3369,1055
北海,巴彦淖尔,2151,997
北海,包头,2133,996
北海,北京,2164,998
北海,博鳌,298,740
北海,长春,2905,1036
北海,长沙,844,875
北海,长治,1682,965
北海,常州,1571,956
北海,朝阳,2171,998
北海,成都,1141,915
北海,赤峰,2489,1016
北海,达州,1095,909
北海,大理,1021,900
北海,大连,2277,1004
北海,大庆,3140,1046
北海,大同,3078,1044
北海,丹东,2524,1018
北海,稻城,1204,922
北海,敦煌,2533,1018
北海,鄂尔多斯,2041,990
北海,十堰,1252,927
北海,石河子,3306,1053
北海,福州,1156,916
北海,抚远,3699,1068
北海,阜阳,1432,944
北海,赣州,765,863
北海,广元,1262,928
北海,广州,467,799
北海,贵阳,623,836
北海,桂林,437,790
北海,哈尔滨,3136,1046
北海,哈密,2738,1028
北海,海口,204,691
北海,海拉尔,3238,1050
北海,杭州,1477,948
北海,合肥,1410,942
北海,呼和浩特,2165,998
北海,惠州,573,825
北海,淮安,1673,964
北海,和田,3304,1053
北海,黄山,1325,934
北海,揭阳,780,865
北海,晋江,1030,901
北海,井冈山,766,863
北海,景德镇,1188,920
北海,佳木斯,3401,1057
北海,九寨沟,1412,942
北海,建三江,3561,1063
北海,库尔勒,3138,1046
北海,克拉玛依,3438,1058
北海,昆明,765,863
北海,喀什,3720,1068
北海,兰州,1701,967
北海,丽江,1083,908
北海,林芝,1613,960
北海,柳州,319,749
北海,六盘水,715,854
北海,泸州,904,884
北海,临汾,1643,962
北海,拉萨,2019,989
北海,满洲里,3204,1049
北海,茅台,1659,963
北海,牡丹江,3182,1048
北海,绵阳,1198,921
北海,南昌,1052,904
北海,南京,1516,952
北海,南宁,170,667
北海,南通,1651,963
北海,宁波,1557,955
北海,攀枝花,942,890
北海,齐齐哈尔,3171,1048
北海,青岛,1959,985
北海,三亚,359,764
北海,石家庄,1914,982
北海,松原,2996,1040
北海,上海,1640,962
北海,深圳,519,812
北海,沈阳,2627,1023
北海,台州,1474,948
北海,太原,1854,978
北海,天津,2110,995
北海,通化,2748,1029
北海,通辽,2746,1029
北海,吐鲁番,2993,1040
北海,万州,1029,901
北海,威海,2177,999
北海,温州,1374,939
北海,乌鲁木齐,3182,1048
北海,无锡,1578,957
北海,乌海,2036,990
北海,武汉,1137,914
北海,乌兰浩特,2981,1040
北海,乌兰察布,2205,1000
北海,西安,2816,1032
北海,西昌,1002,898
北海,西宁,1830,976
北海,锡林浩特,2595,1021
北海,厦门,978,895
北海,徐州,1627,961
北海,烟台,2135,996
北海,延吉,3052,1043
北海,盐城,1711,967
北海,扬州,1586,957
北海,伊宁,3581,1063
北海,宜宾,928,888
北海,宜昌,1052,904
北海,义乌,1401,941
北海,银川,1914,982
北海,榆林,1869,979
北海,运城,1519,952
北海,湛江,130,632
北海,张家界,861,878
北海,郑州,1541,954
北海,重庆,934,889
北海,珠海,466,798
北海,遵义,726,856
北京,阿坝,1553,955
北京,阿克苏,2975,1039
北京,巴彦淖尔,765,863
北京,包头,561,822
北京,北海,2164,998
北京,博鳌,2374,1010
北京,长春,859,878
北京,长沙,1339,935
北京,长治,503,808
北京,常州,962,892
北京,朝阳,11,311
北京,成都,1516,952
北京,赤峰,338,756
北京,达州,1258,927
北京,大理,2181,999
北京,大连,459,796
北京,大庆,1017,900
北京,大同,959,892
北京,丹东,676,847
北京,稻城,1926,983
北京,敦煌,1885,980
北京,鄂尔多斯,546,819
北京,十堰,952,891
北京,石河子,2535,1018
北京,福州,1567,956
北京,抚远,1680,965
北京,阜阳,783,866
北京,赣州,1571,956
北京,广元,1260,928
北京,广州,1891,980
北京,贵阳,1728,969
北京,桂林,1728,969
北京,哈尔滨,1057,905
北京,哈密,1927,983
北京,海口,2287,1005
北京,海拉尔,1078,907
北京,杭州,1129,913
北京,合肥,900,884
北京,呼和浩特,413,783
北京,惠州,1879,980
北京,淮安,757,861
北京,和田,3165,1047
北京,黄山,1084,908
北京,揭阳,1821,975
北京,晋江,1702,967
北京,井冈山,1493,950
北京,景德镇,1183,919
北京,佳木斯,1355,937
北京,九寨沟,1331,935
北京,建三江,1539,954
北京,库尔勒,2576,1021
北京,克拉玛依,2625,1023
北京,昆明,2088,993
北京,喀什,3423,1057
北京,兰州,1181,919
北京,丽江,2081,993
北京,林芝,2253,1003
北京,柳州,1853,978
北京,六盘水,1827,976
北京,泸州,1583,957
北京,临汾,601,831
北京,拉萨,2563,1020
北京,满洲里,1068,906
北京,茅台,580,827
北京,牡丹江,1202,921
北京,绵阳,1408,942
北京,南昌,1250,927
北京,南京,901,884
北京,南宁,2051,991
北京,南通,967,893
北京,宁波,1212,923
北京,攀枝花,2010,988
北京,齐齐哈尔,1025,901
北京,青岛,550,820
北京,三亚,2498,1017
北京,石家庄,264,724
北京,松原,900,884
北京,上海,1068,906
北京,深圳,1945,984
北京,沈阳,627,837
北京,台州,1334,935
北京,太原,402,779
北京,天津,111,612
北京,通化,827,873
北京,通辽,636,839
北京,吐鲁番,2276,1004
北京,万州,1253,927
北京,威海,561,822
北京,温州,1383,940
北京,乌鲁木齐,2413,1012
北京,无锡,993,897
北京,乌海,817,871
北京,武汉,1056,905
北京,乌兰浩特,828,873
北京,乌兰察布,303,742
北京,西安,804,869
北京,西昌,1875,979
北京,西宁,1326,934
北京,锡林浩特,461,797
北京,厦门,1724,968
北京,徐州,633,838
北京,烟台,502,808
北京,延吉,1141,915
北京,盐城,801,869
北京,扬州,879,881
北京,伊宁,2915,1037
北京,宜宾,1641,962
北京,宜昌,1121,912
北京,义乌,1227,924
北京,银川,891,883
北京,榆林,602,832
北京,运城,722,855
北京,湛江,2153,997
北京,张家界,1317,933
北京,郑州,624,836
北京,重庆,1462,947
北京,珠海,1983,987
北京,遵义,1614,960
博鳌,阿坝,1644,962
博鳌,阿克苏,3659,1066
博鳌,巴彦淖尔,2420,1012
博鳌,包头,2389,1011
博鳌,北海,298,740
博鳌,北京,2374,1010
博鳌,长春,3072,1043
博鳌,长沙,1034,902
博鳌,长治,1909,982
博鳌,常州,1686,965
博鳌,朝阳,2380,1010
博鳌,成都,1438,945
博鳌,赤峰,2688,1026
博鳌,达州,1374,939
博鳌,大理,1288,930
博鳌,大连,2440,1013
博鳌,大庆,3321,1054
博鳌,大同,3258,1051
博鳌,丹东,2674,1025
博鳌,稻城,1495,950
博鳌,敦煌,2832,1033
博鳌,鄂尔多斯,2296,1006
博鳌,十堰,1497,950
博鳌,石河子,3604,1064
博鳌,福州,1177,919
博鳌,抚远,3845,1073
博鳌,阜阳,1613,960
博鳌,赣州,865,879
博鳌,广元,1550,954
博鳌,广州,521,813
博鳌,贵阳,919,887
博鳌,桂林,678,847
博鳌,哈尔滨,3305,1053
博鳌,哈密,3036,1042
博鳌,海口,98,596
博鳌,海拉尔,3452,1059
博鳌,杭州,1568,956
博鳌,合肥,1562,955
博鳌,呼和浩特,2410,1012
博鳌,惠州,590,829
博鳌,淮安,1815,975
博鳌,和田,3585,1063
博鳌,黄山,1447,946
博鳌,揭阳,771,864
博鳌,晋江,1027,901
博鳌,井冈山,905,885
博鳌,景德镇,1309,933
博鳌,佳木斯,3558,1063
博鳌,九寨沟,1706,967
博鳌,建三江,3710,1068
博鳌,库尔勒,3434,1058
博鳌,克拉玛依,3736,1069
博鳌,昆明,1041,903
博鳌,喀什,4004,1078
博鳌,兰州,1992,987
博鳌,丽江,1362,938
博鳌,林芝,1889,980
博鳌,柳州,586,828
博鳌,六盘水,1013,899
博鳌,泸州,1200,921
博鳌,临汾,1884,980
博鳌,拉萨,2286,1005
博鳌,满洲里,3429,1058
博鳌,茅台,1839,977
博鳌,牡丹江,3329,1054
博鳌,绵阳,1493,950
博鳌,南昌,1187,920
博鳌,南京,1649,963
博鳌,南宁,469,799
博鳌,南通,1759,971
博鳌,宁波,1627,961
博鳌,攀枝花,1226,924
博鳌,齐齐哈尔,3360,1055
博鳌,青岛,2112,995
博鳌,三亚,151,652
博鳌,石家庄,2133,996
博鳌,松原,3172,1048
博鳌,上海,1731,969
博鳌,深圳,517,812
博鳌,沈阳,2794,1031
博鳌,台州,1525,952
博鳌,太原,2090,993
博鳌,天津,2310,1006
博鳌,通化,2898,1036
博鳌,通辽,2930,1037
博鳌,吐鲁番,3292,1052
博鳌,万州,1301,932
博鳌,威海,2326,1007
博鳌,温州,1421,943
博鳌,乌鲁木齐,3480,1060
博鳌,无锡,1687,965
博鳌,乌海,2309,1006
博鳌,武汉,1322,934
博鳌,乌兰浩特,3175,1048
博鳌,乌兰察布,2441,1014
博鳌,西安,2978,1039
博鳌,西昌,1295,931
博鳌,西宁,2124,995
博鳌,锡林浩特,2817,1032
博鳌,厦门,974,894
博鳌,徐州,1801,974
博鳌,烟台,2291,1005
博鳌,延吉,3190,1048
博鳌,盐城,1842,977
博鳌,扬州,1715,968
博鳌,伊宁,3876,1074
博鳌,宜宾,1226,924
博鳌,宜昌,1287,930
博鳌,义乌,1479,948
博鳌,银川,2191,999
博鳌,榆林,2126,996
博鳌,运城,1765,971
博鳌,湛江,233,708
博鳌,张家界,1107,911
博鳌,郑州,1759,971
博鳌,重庆,1224,924
博鳌,珠海,461,797
博鳌,遵义,1019,900
长春,阿坝,2411,1012
长春,阿克苏,3619,1065
长春,巴彦淖尔,1507,951
长春,包头,1320,934
长春,北海,2905,1036
长春,北京,859,878
长春,博鳌,3072,1043
长春,长沙,2061,992
长春,长治,1342,936
长春,常州,1426,944
长春,朝阳,848,876
长春,成都,2373,1010
长春,赤峰,547,819
长春,达州,2102,994
长春,大理,3035,1042
长春,大连,631,838
长春,大庆,300,741
长春,大同,246,715
长春,丹东,426,787
长春,稻城,2785,1031
长春,敦煌,2582,1021
长春,鄂尔多斯,1345,936
长春,十堰,1776,972
长春,石河子,3105,1045
长春,福州,2057,991
长春,抚远,825,872
长春,阜阳,1474,948
长春,赣州,2215,1001
长春,广元,2118,995
长春,广州,2558,1020
长春,贵阳,2545,1019
长春,桂林,2479,1016
长春,哈尔滨,233,708
长春,哈密,2569,1020
长春,海口,2996,1040
长春,海拉尔,720,855
长春,杭州,1581,957
长春,合肥,1510,951
长春,呼和浩特,1170,918
长春,惠州,2517,1018
长春,淮安,1264,928
长春,和田,3859,1073
长春,黄山,1643,962
长春,揭阳,2405,1012
长春,晋江,2217,1001
长春,井冈山,2167,998
长春,景德镇,1775,972
长春,佳木斯,505,809
长春,九寨沟,2188,999
长春,建三江,683,848
长春,库尔勒,3209,1049
长春,克拉玛依,3169,1047
长春,昆明,2927,1037
长春,喀什,4060,1080
长春,兰州,2019,989
长春,丽江,2937,1038
长春,林芝,3106,1045
长春,柳州,2611,1022
长春,六盘水,2660,1025
长春,泸州,2426,1013
长春,临汾,1455,946
长春,拉萨,3399,1057
长春,满洲里,855,877
长春,茅台,1247,926
长春,牡丹江,350,761
长春,绵阳,2266,1004
长春,南昌,1887,980
长春,南京,1434,944
长春,南宁,2815,1032
长春,南通,1376,939
长春,宁波,1592,958
长春,攀枝花,2861,1034
长春,齐齐哈尔,397,777
长春,青岛,962,892
长春,三亚,3210,1049
长春,石家庄,1113,911
长春,松原,142,644
长春,上海,1445,945
长春,深圳,2590,1021
长春,沈阳,278,731
长春,台州,1728,969
长春,太原,1261,928
长春,天津,856,877
长春,通化,245,715
长春,通辽,246,715
长春,吐鲁番,2897,1036
长春,万州,2086,993
长春,威海,758,861
长春,温州,1815,975
长春,乌鲁木齐,2999,1040
长春,无锡,1439,945
长春,乌海,1598,958
长春,武汉,1768,972
长春,乌兰浩特,354,763
长春,乌兰察布,1049,904
长春,西安,102,601
长春,西昌,2729,1028
长春,西宁,2145,997
长春,锡林浩特,734,857
长春,厦门,2255,1003
长春,徐州,1278,929
长春,烟台,783,866
长春,延吉,348,760
长春,盐城,1251,927
长春,扬州,1376,939
长春,伊宁,3480,1060
长春,宜宾,2489,1016
长春,宜昌,1911,982
长春,义乌,1687,965
长春,银川,1702,967
长春,榆林,1443,945
长春,运城,1570,956
长春,湛江,2870,1035
长春,张家界,2103,994
长春,郑州,1425,944
长春,重庆,2302,1006
长春,珠海,2637,1024
长春,遵义,2436,1013
长沙,阿坝,1112,911
长沙,阿克苏,3197,1049
长沙,巴彦淖尔,1485,949
长沙,包头,1411,942
长沙,北海,844,875
长沙,北京,1339,935
长沙,博鳌,1034,902
长沙,长春,2061,992
长沙,长治,888,882
长沙,常州,781,865
长沙,朝阳,1345,936
长沙,成都,905,885
长沙,赤峰,1655,963
长沙,达州,625,836
长沙,大理,1294,931
长沙,大连,1434,944
长沙,大庆,2298,1006
长沙,大同,2235,1002
长沙,丹东,1684,965
长沙,稻城,1243,926
长沙,敦煌,2187,999
长沙,鄂尔多斯,1318,933
长沙,十堰,534,816
长沙,石河子,2982,1040
长沙,福州,672,846
长沙,抚远,2858,1034
长沙,阜阳,587,828
长沙,赣州,326,752
长沙,广元,832,874
长沙,广州,567,824
长沙,贵阳,643,840
长沙,桂林,424,786
长沙,哈尔滨,2292,1005
长沙,哈密,2352,1009
长沙,海口,949,891
长沙,海拉尔,2418,1012
长沙,杭州,738,858
长沙,合肥,580,827
长沙,呼和浩特,1407,942
长沙,惠州,584,828
长沙,淮安,845,876
长沙,和田,3231,1050
长沙,黄山,545,819
长沙,揭阳,620,835
长沙,晋江,676,847
长沙,井冈山,208,693
长沙,景德镇,427,787
长沙,佳木斯,2558,1020
长沙,九寨沟,1033,902
长沙,建三江,2720,1028
