ORIGIN,TERMINAL,DISTENCE,PRICE,TIME
阿克苏,运城,2678,1026,5.95
阿克苏,湛江,3477,1060,7.73
阿克苏,张家界,2937,1038,6.53
阿克苏,郑州,2913,1037,6.47
阿克苏,重庆,2593,1021,5.76
阿克苏,珠海,3645,1066,8.1
阿克苏,遵义,2745,1029,6.1
巴彦淖尔,阿坝,1089,909,2.42
巴彦淖尔,阿克苏,2211,1001,4.91
巴彦淖尔,包头,204,691,0.45
巴彦淖尔,北海,2151,997,4.78
巴彦淖尔,北京,765,863,1.7
巴彦淖尔,博鳌,2420,1012,5.38
巴彦淖尔,长春,1507,951,3.35
巴彦淖尔,长沙,1485,949,3.3
巴彦淖尔,长治,709,853,1.58
巴彦淖尔,常州,1503,950,3.34
巴彦淖尔,朝阳,775,864,1.72
巴彦淖尔,成都,1161,917,2.58
巴彦淖尔,赤峰,971,894,2.16
巴彦淖尔,达州,1062,905,2.36
巴彦淖尔,大理,1803,974,4.01
巴彦淖尔,大连,1224,924,2.72
巴彦淖尔,大庆,1551,955,3.45
巴彦淖尔,大同,1510,951,3.36
巴彦淖尔,丹东,1430,944,3.18
巴彦淖尔,稻城,1484,949,3.3
巴彦淖尔,敦煌,1120,912,2.49
巴彦淖尔,鄂尔多斯,242,713,0.54
巴彦淖尔,十堰,952,891,2.12
巴彦淖尔,石河子,1789,973,3.98
巴彦淖尔,福州,1970,986,4.38
巴彦淖尔,抚远,2266,1004,5.04
巴彦淖尔,阜阳,1149,916,2.55
巴彦淖尔,赣州,1798,974,4.0
巴彦淖尔,广元,937,889,2.08
巴彦淖尔,广州,2038,990,4.53
巴彦淖尔,贵阳,1573,956,3.5
巴彦淖尔,桂林,1744,970,3.88
巴彦淖尔,哈尔滨,1648,962,3.66
巴彦淖尔,哈密,1167,918,2.59
巴彦淖尔,海口,2323,1007,5.16
巴彦淖尔,海拉尔,1367,938,3.04
巴彦淖尔,杭州,1641,962,3.65
巴彦淖尔,合肥,1324,934,2.94
巴彦淖尔,呼和浩特,356,763,0.79
巴彦淖尔,惠州,2069,992,4.6
巴彦淖尔,淮安,1324,934,2.94
巴彦淖尔,和田,2401,1011,5.34
巴彦淖尔,黄山,1510,951,3.36
巴彦淖尔,揭阳,2089,993,4.64
巴彦淖尔,晋江泉州,2061,992,4.58
巴彦淖尔,井冈山,1688,966,3.75
巴彦淖尔,景德镇,1551,955,3.45
巴彦淖尔,佳木斯,1945,984,4.32
巴彦淖尔,九寨沟,884,881,1.96
巴彦淖尔,建三江,2132,996,4.74
巴彦淖尔,库尔勒,1813,975,4.03
巴彦淖尔,克拉玛依,1888,980,4.2
巴彦淖尔,昆明,1801,974,4.0
巴彦淖尔,喀什,2659,1025,5.91
巴彦淖尔,兰州,609,833,1.35
巴彦淖尔,丽江,1680,965,3.73
巴彦淖尔,林芝,1688,966,3.75
巴彦淖尔,柳州,1837,977,4.08
巴彦淖尔,六盘水,1594,958,3.54
巴彦淖尔,泸州,1332,935,2.96
巴彦淖尔,临汾,630,837,1.4
巴彦淖尔,拉萨,1923,983,4.27
巴彦淖尔,满洲里,1254,927,2.79
巴彦淖尔,茅台,1071,906,2.38
巴彦淖尔,牡丹江,1856,978,4.12
巴彦淖尔,绵阳,1058,905,2.35
巴彦淖尔,南昌,1548,954,3.44
巴彦淖尔,南京,1401,941,3.11
巴彦淖尔,南宁,1999,988,4.44
巴彦淖尔,南通,1545,954,3.43
巴彦淖尔,宁波,1760,971,3.91
巴彦淖尔,攀枝花,1661,963,3.69
巴彦淖尔,齐齐哈尔,1507,951,3.35
巴彦淖尔,青岛,1240,925,2.76
巴彦淖尔,三亚,2511,1017,5.58
巴彦淖尔,石家庄,680,847,1.51
巴彦淖尔,松原,1494,950,3.32
巴彦淖尔,上海,1645,962,3.66
巴彦淖尔,深圳,2118,995,4.71
巴彦淖尔,沈阳,1340,936,2.98
巴彦淖尔,台州,1853,978,4.12
巴彦淖尔,太原,544,818,1.21
巴彦淖尔,天津,853,877,1.9
巴彦淖尔,通化,1548,954,3.44
巴彦淖尔,通辽,1261,928,2.8
巴彦淖尔,吐鲁番,1518,952,3.37
巴彦淖尔,万州,1122,912,2.49
巴彦淖尔,威海,1313,933,2.92
巴彦淖尔,温州,1865,979,4.14
巴彦淖尔,乌鲁木齐,1664,964,3.7
巴彦淖尔,无锡,1540,954,3.42
巴彦淖尔,乌海,130,632,0.29
巴彦淖尔,武汉,1291,931,2.87
巴彦淖尔,乌兰浩特,1321,934,2.94
巴彦淖尔,乌兰察布,478,802,1.06
巴彦淖尔,西安,1485,949,3.3
巴彦淖尔,西昌,1514,951,3.36
巴彦淖尔,西宁,671,846,1.49
巴彦淖尔,锡林浩特,803,869,1.78
巴彦淖尔,厦门,2064,992,4.59
巴彦淖尔,徐州,1122,912,2.49
巴彦淖尔,烟台,1248,926,2.77
巴彦淖尔,延吉,1836,976,4.08
巴彦淖尔,盐城,1393,941,3.1
巴彦淖尔,扬州,1416,943,3.15
巴彦淖尔,伊宁,2166,998,4.81
巴彦淖尔,宜宾,1358,937,3.02
巴彦淖尔,宜昌,1169,918,2.6
巴彦淖尔,义乌,1713,967,3.81
巴彦淖尔,银川,272,728,0.6
巴彦淖尔,榆林,341,758,0.76
巴彦淖尔,运城,710,853,1.58
巴彦淖尔,湛江,2187,999,4.86
巴彦淖尔,张家界,1324,934,2.94
巴彦淖尔,郑州,863,878,1.92
巴彦淖尔,重庆,1250,927,2.78
巴彦淖尔,珠海,2137,996,4.75
巴彦淖尔,遵义,1453,946,3.23
包头,阿坝,1186,920,2.64
包头,阿克苏,2415,1012,5.37
包头,巴彦淖尔,204,691,0.45
包头,北海,2133,996,4.74
包头,北京,561,822,1.25
包头,博鳌,2389,1011,5.31
包头,长春,1320,934,2.93
包头,长沙,1411,942,3.14
包头,长治,570,824,1.27
包头,常州,1340,936,2.98
包头,朝阳,571,825,1.27
包头,成都,1224,924,2.72
包头,赤峰,778,865,1.73
包头,达州,1069,906,2.38
包头,大理,1885,980,4.19
包头,大连,1020,900,2.27
包头,大庆,1385,940,3.08
包头,大同,1340,936,2.98
包头,丹东,1227,924,2.73
包头,稻城,1582,957,3.52
包头,敦煌,1324,934,2.94
包头,鄂尔多斯,93,589,0.21
包头,十堰,894,883,1.99
包头,石河子,1986,987,4.41
包头,福州,1844,977,4.1
包头,抚远,2096,994,4.66
包头,阜阳,1011,899,2.25
包头,赣州,1711,967,3.8
包头,广元,980,895,2.18
包头,广州,1975,986,4.39
包头,贵阳,1585,957,3.52
包头,桂林,1711,967,3.8
包头,哈尔滨,1473,948,3.27
包头,哈密,1369,938,3.04
包头,海口,2293,1005,5.1
包头,海拉尔,1248,926,2.77
包头,杭州,1486,949,3.3
包头,合肥,1181,919,2.62
包头,呼和浩特,154,654,0.34
包头,惠州,1995,987,4.43
包头,淮安,1152,916,2.56
包头,和田,2606,1022,5.79
包头,黄山,1371,939,3.05
包头,揭阳,1996,987,4.44
包头,晋江泉州,1946,984,4.32
包头,井冈山,1607,959,3.57
包头,景德镇,1426,944,3.17
包头,佳木斯,1773,972,3.94
包头,九寨沟,968,893,2.15
包头,建三江,1960,985,4.36
包头,库尔勒,2016,989,4.48
包头,克拉玛依,2082,993,4.63
包头,昆明,1856,978,4.12
包头,喀什,2863,1034,6.36
包头,兰州,731,857,1.62
包头,丽江,1768,972,3.93
包头,林芝,1828,976,4.06
包头,柳州,1814,975,4.03
包头,六盘水,1629,961,3.62
包头,泸州,1366,938,3.04
包头,临汾,526,814,1.17
包头,拉萨,2088,993,4.64
包头,满洲里,1156,916,2.57
包头,茅台,906,885,2.01
包头,牡丹江,1670,964,3.71
包头,绵阳,1116,912,2.48
包头,南昌,1439,945,3.2
包头,南京,1244,926,2.76
包头,南宁,1989,987,4.42
包头,南通,1375,939,3.06
包头,宁波,1599,959,3.55
包头,攀枝花,1732,969,3.85
包头,齐齐哈尔,1351,937,3.0
包头,青岛,1047,903,2.33
包头,三亚,2489,1016,5.53
包头,石家庄,494,806,1.1
包头,松原,1316,933,2.92
包头,上海,1477,948,3.28
包头,深圳,2050,991,4.56
包头,沈阳,1142,915,2.54
包头,台州,1699,966,3.78
包头,太原,384,773,0.85
包头,天津,649,841,1.44
包头,通化,1350,937,3.0
包头,通辽,1074,907,2.39
包头,吐鲁番,1720,968,3.82
包头,万州,1112,911,2.47
包头,威海,1111,911,2.47
包头,温州,1719,968,3.82
包头,乌鲁木齐,1862,978,4.14
包头,无锡,1376,939,3.06
包头,乌海,277,731,0.62
包头,武汉,1189,920,2.64
包头,乌兰浩特,1158,917,2.57
包头,乌兰察布,277,731,0.62
包头,西安,1292,931,2.87
包头,西昌,1587,958,3.53
包头,西宁,830,873,1.84
包头,锡林浩特,642,840,1.43
包头,厦门,1953,985,4.34
包头,徐州,959,892,2.13
包头,烟台,1047,903,2.33
包头,延吉,1643,962,3.65
包头,盐城,1218,923,2.71
包头,扬州,1252,927,2.78
包头,伊宁,2364,1009,5.25
包头,宜宾,1403,942,3.12
包头,宜昌,1110,911,2.47
包头,义乌,1565,956,3.48
包头,银川,392,776,0.87
包头,榆林,263,724,0.58
包头,运城,631,838,1.4
包头,湛江,2156,997,4.79
包头,张家界,1282,930,2.85
包头,郑州,735,857,1.63
包头,重庆,1270,929,2.82
包头,珠海,2074,992,4.61
包头,遵义,1464,947,3.25
北海,阿坝,1346,936,2.99
北海,阿克苏,3369,1055,7.49
北海,巴彦淖尔,2151,997,4.78
北海,包头,2133,996,4.74
北海,北京,2164,998,4.81
北海,博鳌,298,740,0.66
北海,长春,2905,1036,6.46
北海,长沙,844,875,1.88
北海,长治,1682,965,3.74
北海,常州,1571,956,3.49
北海,朝阳,2171,998,4.82
北海,成都,1141,915,2.54
北海,赤峰,2489,1016,5.53
北海,达州,1095,909,2.43
北海,大理,1021,900,2.27
北海,大连,2277,1004,5.06
北海,大庆,3140,1046,6.98
北海,大同,3078,1044,6.84
北海,丹东,2524,1018,5.61
北海,稻城,1204,922,2.68
北海,敦煌,2533,1018,5.63
北海,鄂尔多斯,2041,990,4.54
北海,十堰,1252,927,2.78
北海,石河子,3306,1053,7.35
北海,福州,1156,916,2.57
北海,抚远,3699,1068,8.22
北海,阜阳,1432,944,3.18
北海,赣州,765,863,1.7
北海,广元,1262,928,2.8
北海,广州,467,799,1.04
北海,贵阳,623,836,1.38
北海,桂林,437,790,0.97
北海,哈尔滨,3136,1046,6.97
北海,哈密,2738,1028,6.08
北海,海口,204,691,0.45
北海,海拉尔,3238,1050,7.2
北海,杭州,1477,948,3.28
北海,合肥,1410,942,3.13
北海,呼和浩特,2165,998,4.81
北海,惠州,573,825,1.27
北海,淮安,1673,964,3.72
北海,和田,3304,1053,7.34
北海,黄山,1325,934,2.94
北海,揭阳,780,865,1.73
北海,晋江泉州,1030,901,2.29
北海,井冈山,766,863,1.7
北海,景德镇,1188,920,2.64
北海,佳木斯,3401,1057,7.56
北海,九寨沟,1412,942,3.14
北海,建三江,3561,1063,7.91
北海,库尔勒,3138,1046,6.97
北海,克拉玛依,3438,1058,7.64
北海,昆明,765,863,1.7
北海,喀什,3720,1068,8.27
北海,兰州,1701,967,3.78
北海,丽江,1083,908,2.41
北海,林芝,1613,960,3.58
北海,柳州,319,749,0.71
北海,六盘水,715,854,1.59
北海,泸州,904,884,2.01
北海,临汾,1643,962,3.65
北海,拉萨,2019,989,4.49
北海,满洲里,3204,1049,7.12
北海,茅台,1659,963,3.69
北海,牡丹江,3182,1048,7.07
北海,绵阳,1198,921,2.66
北海,南昌,1052,904,2.34
北海,南京,1516,952,3.37
北海,南宁,170,667,0.38
北海,南通,1651,963,3.67
北海,宁波,1557,955,3.46
北海,攀枝花,942,890,2.09
北海,齐齐哈尔,3171,1048,7.05
北海,青岛,1959,985,4.35
北海,三亚,359,764,0.8
北海,石家庄,1914,982,4.25
北海,松原,2996,1040,6.66
北海,上海,1640,962,3.64
北海,深圳,519,812,1.15
北海,沈阳,2627,1023,5.84
北海,台州,1474,948,3.28
北海,太原,1854,978,4.12
北海,天津,2110,995,4.69
北海,通化,2748,1029,6.11
北海,通辽,2746,1029,6.1
北海,吐鲁番,2993,1040,6.65
北海,万州,1029,901,2.29
北海,威海,2177,999,4.84
北海,温州,1374,939,3.05
北海,乌鲁木齐,3182,1048,7.07
北海,无锡,1578,957,3.51
北海,乌海,2036,990,4.52
北海,武汉,1137,914,2.53
北海,乌兰浩特,2981,1040,6.62
北海,乌兰察布,2205,1000,4.9
北海,西安,2816,1032,6.26
北海,西昌,1002,898,2.23
北海,西宁,1830,976,4.07
北海,锡林浩特,2595,1021,5.77
北海,厦门,978,895,2.17
北海,徐州,1627,961,3.62
北海,烟台,2135,996,4.74
北海,延吉,3052,1043,6.78
北海,盐城,1711,967,3.8
北海,扬州,1586,957,3.52
北海,伊宁,3581,1063,7.96
北海,宜宾,928,888,2.06
北海,宜昌,1052,904,2.34
北海,义乌,1401,941,3.11
北海,银川,1914,982,4.25
北海,榆林,1869,979,4.15
北海,运城,1519,952,3.38
北海,湛江,130,632,0.29
北海,张家界,861,878,1.91
北海,郑州,1541,954,3.42
北海,重庆,934,889,2.08
北海,珠海,466,798,1.04
北海,遵义,726,856,1.61
北京,阿坝,1553,955,3.45
北京,阿克苏,2975,1039,6.61
北京,巴彦淖尔,765,863,1.7
北京,包头,561,822,1.25
北京,北海,2164,998,4.81
北京,博鳌,2374,1010,5.28
北京,长春,859,878,1.91
北京,长沙,1339,935,2.98
北京,长治,503,808,1.12
北京,常州,962,892,2.14
北京,朝阳,11,311,0.02
北京,成都,1516,952,3.37
北京,赤峰,338,756,0.75
北京,达州,1258,927,2.8
北京,大理,2181,999,4.85
北京,大连,459,796,1.02
北京,大庆,1017,900,2.26
北京,大同,959,892,2.13
北京,丹东,676,847,1.5
北京,稻城,1926,983,4.28
北京,敦煌,1885,980,4.19
北京,鄂尔多斯,546,819,1.21
北京,十堰,952,891,2.12
北京,石河子,2535,1018,5.63
北京,福州,1567,956,3.48
北京,抚远,1680,965,3.73
北京,阜阳,783,866,1.74
北京,赣州,1571,956,3.49
北京,广元,1260,928,2.8
北京,广州,1891,980,4.2
北京,贵阳,1728,969,3.84
北京,桂林,1728,969,3.84
北京,哈尔滨,1057,905,2.35
北京,哈密,1927,983,4.28
北京,海口,2287,1005,5.08
北京,海拉尔,1078,907,2.4
北京,杭州,1129,913,2.51
北京,合肥,900,884,2.0
北京,呼和浩特,413,783,0.92
北京,惠州,1879,980,4.18
北京,淮安,757,861,1.68
北京,和田,3165,1047,7.03
北京,黄山,1084,908,2.41
北京,揭阳,1821,975,4.05
北京,晋江泉州,1702,967,3.78
北京,井冈山,1493,950,3.32
北京,景德镇,1183,919,2.63
北京,佳木斯,1355,937,3.01
北京,九寨沟,1331,935,2.96
北京,建三江,1539,954,3.42
北京,库尔勒,2576,1021,5.72
北京,克拉玛依,2625,1023,5.83
北京,昆明,2088,993,4.64
北京,喀什,3423,1057,7.61
北京,兰州,1181,919,2.62
北京,丽江,2081,993,4.62
北京,林芝,2253,1003,5.01
北京,柳州,1853,978,4.12
北京,六盘水,1827,976,4.06
北京,泸州,1583,957,3.52
北京,临汾,601,831,1.34
北京,拉萨,2563,1020,5.7
北京,满洲里,1068,906,2.37
北京,茅台,580,827,1.29
北京,牡丹江,1202,921,2.67
北京,绵阳,1408,942,3.13
北京,南昌,1250,927,2.78
北京,南京,901,884,2.0
北京,南宁,2051,991,4.56
北京,南通,967,893,2.15
北京,宁波,1212,923,2.69
北京,攀枝花,2010,988,4.47
北京,齐齐哈尔,1025,901,2.28
北京,青岛,550,820,1.22
北京,三亚,2498,1017,5.55
北京,石家庄,264,724,0.59
北京,松原,900,884,2.0
北京,上海,1068,906,2.37
北京,深圳,1945,984,4.32
北京,沈阳,627,837,1.39
北京,台州,1334,935,2.96
北京,太原,402,779,0.89
北京,天津,111,612,0.25
北京,通化,827,873,1.84
北京,通辽,636,839,1.41
北京,吐鲁番,2276,1004,5.06
北京,万州,1253,927,2.78
北京,威海,561,822,1.25
北京,温州,1383,940,3.07
北京,乌鲁木齐,2413,1012,5.36
北京,无锡,993,897,2.21
北京,乌海,817,871,1.82
北京,武汉,1056,905,2.35
北京,乌兰浩特,828,873,1.84
北京,乌兰察布,303,742,0.67
北京,西安,804,869,1.79
北京,西昌,1875,979,4.17
北京,西宁,1326,934,2.95
北京,锡林浩特,461,797,1.02
北京,厦门,1724,968,3.83
北京,徐州,633,838,1.41
北京,烟台,502,808,1.12
北京,延吉,1141,915,2.54
北京,盐城,801,869,1.78
北京,扬州,879,881,1.95
北京,伊宁,2915,1037,6.48
北京,宜宾,1641,962,3.65
北京,宜昌,1121,912,2.49
北京,义乌,1227,924,2.73
北京,银川,891,883,1.98
北京,榆林,602,832,1.34
北京,运城,722,855,1.6
北京,湛江,2153,997,4.78
北京,张家界,1317,933,2.93
北京,郑州,624,836,1.39
北京,重庆,1462,947,3.25
北京,珠海,1983,987,4.41
北京,遵义,1614,960,3.59
博鳌,阿坝,1644,962,3.65
博鳌,阿克苏,3659,1066,8.13
博鳌,巴彦淖尔,2420,1012,5.38
博鳌,包头,2389,1011,5.31
博鳌,北海,298,740,0.66
博鳌,北京,2374,1010,5.28
博鳌,长春,3072,1043,6.83
博鳌,长沙,1034,902,2.3
博鳌,长治,1909,982,4.24
博鳌,常州,1686,965,3.75
博鳌,朝阳,2380,1010,5.29
博鳌,成都,1438,945,3.2
博鳌,赤峰,2688,1026,5.97
博鳌,达州,1374,939,3.05
博鳌,大理,1288,930,2.86
博鳌,大连,2440,1013,5.42
博鳌,大庆,3321,1054,7.38
博鳌,大同,3258,1051,7.24
博鳌,丹东,2674,1025,5.94
博鳌,稻城,1495,950,3.32
博鳌,敦煌,2832,1033,6.29
博鳌,鄂尔多斯,2296,1006,5.1
博鳌,十堰,1497,950,3.33
博鳌,石河子,3604,1064,8.01
博鳌,福州,1177,919,2.62
博鳌,抚远,3845,1073,8.54
博鳌,阜阳,1613,960,3.58
博鳌,赣州,865,879,1.92
博鳌,广元,1550,954,3.44
博鳌,广州,521,813,1.16
博鳌,贵阳,919,887,2.04
博鳌,桂林,678,847,1.51
博鳌,哈尔滨,3305,1053,7.34
博鳌,哈密,3036,1042,6.75
博鳌,海口,98,596,0.22
博鳌,海拉尔,3452,1059,7.67
博鳌,杭州,1568,956,3.48
博鳌,合肥,1562,955,3.47
博鳌,呼和浩特,2410,1012,5.36
博鳌,惠州,590,829,1.31
博鳌,淮安,1815,975,4.03
博鳌,和田,3585,1063,7.97
博鳌,黄山,1447,946,3.22
博鳌,揭阳,771,864,1.71
博鳌,晋江泉州,1027,901,2.28
博鳌,井冈山,905,885,2.01
博鳌,景德镇,1309,933,2.91
博鳌,佳木斯,3558,1063,7.91
博鳌,九寨沟,1706,967,3.79
博鳌,建三江,3710,1068,8.24
博鳌,库尔勒,3434,1058,7.63
博鳌,克拉玛依,3736,1069,8.3
博鳌,昆明,1041,903,2.31
